,malware,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
0,1,134,93,161,95,152,169,152,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,152,93,26,269,270,153,134,152,285,182,95,134,135,261,136,135,182,97,140,152,97,92,231,136,135,235,218,231,235,218,157,89,97,153,136,135,136,189,230,234,218,176,190,153,176,190,153,176,190,153,231,108,176,190,153,152,166,152,135,166,104,153,152,231,218,235,218,231,218,235,218
1,1,95,152,169,152,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,152,261,152,92,161,136,135,182,152,169,182,136,135,136,135,136,135,136,135,182,169,152,169,152,179,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72,152,169,72
2,1,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,182,153,176,190,153,176,190,153,134,135,134,135,134,135,93,152,231,56,140,136,135,89,140,134,135,231,176,190,134,135,136,135,134,135,99,140,231,235,218,134,135,134,135,253,136,253,136,253,94,59,208,59,138,59,138,153,152,94,152,136,135,136,135,136,135,136,135,136
3,1,95,136,135,136,135,136,135,136,135,134,135,134,135,261,136,135,28,176,190,153,176,190,153,135,29,135,35,135,155,79,256,192,153,231,235,218,9,231,235,227,231,235,218,227,218,231,235,218,25,273,220,237,136,95,237,218,231,235,218,231,235,218,231,235,218,9,6,134,135,231,60,265,138,6,152,136,135,231,233,226,231,233,226,231,235,231,235,231,235,231,235,231,235,231,235,231,235,231,235,231
4,1,95,136,135,136,135,136,135,136,135,136,135,136,135,134,135,134,135,261,247,253,76,253,76,253,76,253,76,253,76,253,76,253,76,253,76,253,76,253,76,253,18,9,136,95,136,6,153,94,152,136,135,94,153,231,92,136,135,9,135,153,231,235,218,153,94,178,153,178,153,152,231,235,218,231,134,59,152,136,60,138,265,152,169,152,169,152,93,134,135,134,135,94,134,135,92,136,25,59,153,94
5,1,95,136,135,136,135,136,135,136,135,134,135,134,135,261,136,135,28,176,190,153,176,190,153,135,29,135,35,135,155,79,256,192,153,231,235,218,9,231,235,227,231,235,218,227,218,231,235,218,25,273,220,237,218,231,235,218,231,235,218,231,235,218,9,136,95,6,134,135,231,60,265,138,6,152,136,135,231,233,226,231,233,226,231,235,231,235,231,235,231,235,231,235,231,235,231,235,231,235,231,235
6,1,95,93,157,95,176,177,136,135,231,135,233,135,226,231,233,135,229,135,218,76,231,135,235,135,235,218,56,231,233,229,218,231,235,218,56,231,233,218,231,233,218,56,231,235,218,231,235,218,134,135,231,235,218,189,182,92,134,136,92,134,176,190,153,134,135,153,177,190,153,136,135,95,136,135,155,79,158,173,93,153,204,153,155,79,158,173,93,153,204,153,231,218,231,235,218,56,153,231,235,218
7,1,95,136,135,136,135,136,135,136,135,136,135,261,152,169,152,136,135,133,94,173,134,135,152,94,153,176,190,153,176,190,153,94,152,136,135,182,152,136,135,136,135,136,135,97,16,134,135,136,135,231,235,218,231,235,218,93,134,135,231,174,136,135,93,152,169,152,136,135,136,135,136,135,95,230,234,218,136,135,92,230,136,135,136,135,93,136,135,136,135,95,134,135,261,9,153,282,152,25,136,135
8,1,261,152,247,134,135,153,247,13,254,230,152,97,140,97,152,92,231,136,135,235,218,231,235,218,157,89,97,153,136,135,136,189,230,234,218,152,176,190,153,176,190,153,176,190,153,231,108,176,190,153,166,152,135,166,152,104,153,231,218,235,218,231,218,235,218,152,166,153,104,153,231,218,235,218,231,218,235,218,166,104,153,231,218,235,218,231,218,235,218,152,153,106,152,153,106,153,106,152,153,137
9,1,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,182,153,176,190,153,176,190,153,134,135,134,135,134,135,93,152,231,56,140,136,135,89,140,134,135,231,176,190,134,135,136,135,134,135,99,140,231,235,218,134,135,134,135,253,136,253,136,253,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59
